Company,Description,Source,Link,Month,Year,Ticker
Mondelez International,"And that�s just the top ten out of hundreds of multinational brands contributing to plastic pollution across the globe.We all have a role to play in tackling plastic pollution. But the reality is, individual consumers are already bearing the burden of this crisis. We�re swapping plastic bottles for reusable glass and metal, ditching disposable straws, avoiding unnecessary packaging in our grocery stores, and cleaning up our beaches as best we can. But there�s only so much we can do if companies don�t step up and provide more sustainable choices.",greenpeace,https://www.greenpeace.org/international/story/18876/these-10-companies-are-flooding-the-planet-with-throwaway-plastic/?utm_source=chatgpt.com,October,2018,MDLZ
Procter & Gamble,"And that�s just the top ten out of hundreds of multinational brands contributing to plastic pollution across the globe.We all have a role to play in tackling plastic pollution. But the reality is, individual consumers are already bearing the burden of this crisis. We�re swapping plastic bottles for reusable glass and metal, ditching disposable straws, avoiding unnecessary packaging in our grocery stores, and cleaning up our beaches as best we can. But there�s only so much we can do if companies don�t step up and provide more sustainable choices.",greenpeace,https://www.greenpeace.org/international/story/18876/these-10-companies-are-flooding-the-planet-with-throwaway-plastic/?utm_source=chatgpt.com,October,2018,PG
Unilever,"And that�s just the top ten out of hundreds of multinational brands contributing to plastic pollution across the globe.We all have a role to play in tackling plastic pollution. But the reality is, individual consumers are already bearing the burden of this crisis. We�re swapping plastic bottles for reusable glass and metal, ditching disposable straws, avoiding unnecessary packaging in our grocery stores, and cleaning up our beaches as best we can. But there�s only so much we can do if companies don�t step up and provide more sustainable choices.",greenpeace,https://www.greenpeace.org/international/story/18876/these-10-companies-are-flooding-the-planet-with-throwaway-plastic/?utm_source=chatgpt.com,October,2018,UL
Perfetti van Melle,"And that�s just the top ten out of hundreds of multinational brands contributing to plastic pollution across the globe.We all have a role to play in tackling plastic pollution. But the reality is, individual consumers are already bearing the burden of this crisis. We�re swapping plastic bottles for reusable glass and metal, ditching disposable straws, avoiding unnecessary packaging in our grocery stores, and cleaning up our beaches as best we can. But there�s only so much we can do if companies don�t step up and provide more sustainable choices.",greenpeace,https://www.greenpeace.org/international/story/18876/these-10-companies-are-flooding-the-planet-with-throwaway-plastic/?utm_source=chatgpt.com,October,2018,N/A (private)
Mars Incorporated,"And that�s just the top ten out of hundreds of multinational brands contributing to plastic pollution across the globe.We all have a role to play in tackling plastic pollution. But the reality is, individual consumers are already bearing the burden of this crisis. We�re swapping plastic bottles for reusable glass and metal, ditching disposable straws, avoiding unnecessary packaging in our grocery stores, and cleaning up our beaches as best we can. But there�s only so much we can do if companies don�t step up and provide more sustainable choices.",greenpeace,https://www.greenpeace.org/international/story/18876/these-10-companies-are-flooding-the-planet-with-throwaway-plastic/?utm_source=chatgpt.com,October,2018,N/A (private)
Colgate-Palmolive,"And that�s just the top ten out of hundreds of multinational brands contributing to plastic pollution across the globe.We all have a role to play in tackling plastic pollution. But the reality is, individual consumers are already bearing the burden of this crisis. We�re swapping plastic bottles for reusable glass and metal, ditching disposable straws, avoiding unnecessary packaging in our grocery stores, and cleaning up our beaches as best we can. But there�s only so much we can do if companies don�t step up and provide more sustainable choices.",greenpeace,https://www.greenpeace.org/international/story/18876/these-10-companies-are-flooding-the-planet-with-throwaway-plastic/?utm_source=chatgpt.com,October,2018,CL
SeaWorld,"The amount of coal that PETA would like to give SeaWorld would fill up every marine park tank in existence�which would be far better than keeping orcas and dolphins confined to small, barren tanks.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,SEAS
Urban Outfitters,"Urban Outfitters continues to sell wool, silk, leather, and other products obtained from animals despite widespread cruelty concerns and PETA campaigns urging them to stop.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,URBN
Petco,"Petco is criticized for keeping betta fish in tiny cups with poor living conditions, leading to stress and suffering for the animals.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,WOOF
Canada Goose,"Canada Goose uses fur from coyotes caught in painful steel traps and down feathers plucked from geese, despite campaigns to encourage cruelty-free alternatives.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,GOOS.TO
